price,X,Y,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
243500,-122.372,47.2897,4,2.5,7403,7,1980,7510
1100000,-122.391,47.6506,5,2.75,6353,10,2520,6250
153000,-122.351,47.322,3,1,10500,7,1350,10500
430000,-122.386,47.687,3,1.5,5000,8,1570,4500
700000,-122.386,47.687,3,1.5,5000,8,1570,4500
905000,-122.249,47.5873,4,2.5,10250,7,1950,6045
247500,-122.277,47.3576,3,1.75,15681,7,1750,15616
199000,-122.378,47.3036,4,1.5,6400,7,1160,6400
314000,-121.958,47.4109,3,1.75,41800,7,1650,135036
437500,-121.714,47.4838,3,2.5,36847,9,2550,35065
850830,-122.315,47.6415,3,2.5,13241,9,2200,4500
555000,-122.372,47.6775,3,2,3478,7,1610,3478
699950,-122.08,47.7731,3,2.25,107593,8,2570,47777
1090000,-122.196,47.5814,3,2.5,8113,8,2370,8113
290000,-122.184,47.4375,3,1,33919,7,1640,14910
375000,-122.133,47.4431,3,2.5,10005,8,2250,8162
460000,-122.38,47.6878,3,1,4005,7,1240,4005
188500,-122.322,47.3813,2,1.75,2493,8,1270,4966
680000,-122.082,47.7304,4,2.5,28037,10,2990,35001
470000,-122.109,47.6417,5,1.75,12342,7,2500,9433
597750,-122.053,47.5386,4,2.5,9624,8,1940,9636
570000,-122.349,47.6823,3,1.75,3328,6,1380,3536
272500,-122.031,47.3624,3,1.75,12600,7,1540,11656
329950,-122.295,47.5474,3,1.75,5969,7,2090,5500
480000,-122.253,47.3183,4,2.5,16171,9,2640,8517
740500,-122.368,47.6981,3,3.5,6350,8,1830,6350
518500,-122.347,47.6824,3,3.5,1102,8,1620,3166
205425,-122.248,47.5009,2,1,6780,6,1190,6780
171800,-122.303,47.4965,4,2,9600,6,1880,9000
535000,-122.294,47.587,4,1,2982,7,1610,4040
660000,-122.386,47.7728,3,2.5,6474,8,2340,10856
391500,-122.226,47.7288,3,2,9132,7,1580,9104
395000,-122.364,47.6999,2,1,6000,6,1710,6000
445000,-122.266,47.5299,4,1.75,4400,7,1850,4400
770000,-122.098,47.6897,3,2.25,10204,9,2700,13992
1450000,-122.212,47.6141,4,2.75,17789,8,3060,11275
445000,-122.244,47.5091,3,2.25,8201,8,2660,8712
260000,-122.39,47.3129,4,2.25,8811,8,2090,8400
822500,-122.352,47.6763,5,3.5,4960,7,1700,4960
430000,-121.85,47.5319,4,2.5,4310,7,1970,3748
212000,-122.152,47.2761,3,1.75,7875,7,1420,7680
660500,-122.054,47.5343,4,2.25,9603,8,2060,9793
784000,-122.072,47.697,3,3.5,111078,9,2480,88500
453246,-121.998,47.5517,3,2.5,2287,8,1690,1662
675000,-122.38,47.6734,4,3.5,2278,9,1540,2285
199000,-122.296,47.3257,3,1.75,17390,7,1550,19265
220000,-122.299,47.3309,4,1.75,7840,7,1750,8140
452000,-122.266,47.7689,4,2.25,10002,8,1550,10436
382500,-122.287,47.7135,2,1,4440,6,1060,5715
519950,-122.381,47.6722,3,2.25,1249,8,1350,1310
665000,-122.358,47.6338,2,1,3200,7,1170,3600
527700,-122.128,47.5707,5,2.5,9375,8,2820,9375
205000,-122.171,47.4563,3,1,8579,7,1610,8579
420000,-122.351,47.7144,3,1,8097,7,1560,7940
500000,-122.174,47.5495,4,2.25,8517,8,2230,8824
921500,-122.026,47.7421,4,2.5,315374,9,2840,87991
890000,-122.353,47.6354,4,1,4000,8,2200,4000
430000,-121.943,47.5262,2,2.5,60984,7,1940,193842
258000,-122.286,47.3887,5,2,12500,8,1360,18000
511000,-122.336,47.6873,3,1,3455,7,1450,4599
532170,-122.353,47.6838,3,2,3090,8,1500,3090
560000,-122.359,47.655,3,1,5000,7,1420,5000
282950,-122.304,47.3255,3,1,8200,7,1680,8633
2250000,-122.162,47.562,4,3.25,19850,12,3160,9750
350000,-122.3,47.679,1,1,5100,7,1010,5100
215000,-122.176,47.4479,3,1,7669,7,1190,7669
650000,-122.172,47.525,5,3.5,25245,9,2640,13675
320000,-122.369,47.3135,4,2.75,7500,8,1980,7875
247000,-121.996,47.2086,3,2,7198,7,1160,7198
320000,-122.118,47.4715,4,1.75,11180,8,1730,11180
255000,-122.335,47.4877,5,2.25,8632,7,1010,11680
438000,-122.193,47.7171,3,1.75,9660,7,1200,9660
900000,-122.023,47.6012,3,2.5,16603,10,3400,12601
441000,-122.224,47.7319,3,2.75,7280,7,1710,8152
420000,-122.023,47.4582,3,2,38332,7,2110,36590
370000,-122.168,47.7209,3,1.75,7000,7,1640,7500
269950,-122.327,47.408,2,1.75,7250,5,1830,9750
807100,-122.125,47.565,4,2.5,4499,9,2920,4500
653000,-122.231,47.7028,3,2.5,9750,8,2480,8750
371500,-122.331,47.7458,3,2,8336,7,1770,7288
284000,-122.337,47.4776,3,1.75,21000,7,1070,7920
272000,-122.374,47.3026,3,1.75,7140,7,1930,7350
313000,-122.339,47.7658,3,1.5,7912,7,1480,7940
917500,-122.182,47.6477,4,2.5,35003,10,3740,35230
673000,-122.125,47.5619,4,2.25,8190,8,2260,8335
425000,-122.31,47.6106,3,2.5,1100,8,1590,1795
399950,-122.308,47.5868,5,2.75,5400,7,1280,2150
385000,-122.307,47.6101,3,1,4800,6,1200,4800
269950,-121.999,47.1976,3,1.5,7560,7,1950,8941
330000,-122.358,47.7224,2,1,8220,7,1540,8280
260000,-122.179,47.3505,3,2.5,5797,7,1670,6183
470000,-122.376,47.5384,4,3,5125,7,1410,5375
589000,-122.2,47.7044,4,3,9600,7,2290,9600
163500,-122.039,47.3848,2,1.5,3419,7,1050,3417
835000,-122.102,47.6993,4,2.75,13412,9,2260,9984
1100000,-122.188,47.6627,5,3,12850,10,2540,10270
269000,-122.379,47.3099,4,1.75,10000,8,2190,8910
560000,-122.043,47.62,3,2.5,8744,8,2030,8744
615000,-122.34,47.65,4,1,2400,6,1330,4400
585188,-122.153,47.6647,3,2.25,10026,8,2230,9340
305000,-122.191,47.726,3,1.75,9480,7,1540,8400
166950,-122.184,47.4616,3,1,8820,6,1230,7980
799000,-122.219,47.5505,3,2.5,9897,8,2680,10083
400000,-122.336,47.7606,3,2.5,7508,7,1900,7818
230000,-122.3,47.7481,3,1,10228,7,1570,10228
256883,-122.347,47.2779,3,2.5,5025,8,2550,5001
423000,-122.312,47.5511,4,2,6480,7,1500,6480
465000,-122.372,47.5488,3,2.5,4084,8,1750,2385
440000,-121.911,47.5385,3,2.5,66211,7,2330,67268
385000,-121.994,47.4058,3,1.75,155073,7,1560,50965
210000,-122.184,47.5093,3,1,11725,6,1300,9514
297000,-122.165,47.3777,3,2.5,14952,8,2030,10450
470000,-122.394,47.675,3,1,5000,7,1680,5000
226500,-122.37,47.3025,3,1.5,7370,7,1430,7500
274250,-122.158,47.4787,3,1,8450,6,1400,8040
840000,-122.219,47.5378,4,1.75,11010,9,2770,10744
677900,-122.114,47.7073,3,2.5,4587,8,2750,4587
425000,-122.381,47.5733,3,1,5864,7,1290,5000
180250,-122.339,47.4604,2,0.75,9600,6,1250,14280
464000,-122.343,47.7067,6,3,3404,7,1560,1312
320000,-122.047,47.354,4,2.25,7579,8,1630,6397
625504,-122.284,47.6647,3,2.25,1566,8,1160,1327
592500,-122.017,47.6143,4,2.5,12032,9,2520,12368
465000,-122.275,47.3185,3,2.5,17936,9,2590,18386
477000,-122.268,47.5458,4,2.75,6270,8,2130,8700
280000,-122.299,47.4889,2,1,16400,6,1100,14459
1510000,-122.21,47.5673,5,3,33474,9,3836,20953
445838,-122.379,47.5133,3,2.5,5692,8,1320,5390
1070000,-122.291,47.5884,2,2.25,14864,8,2580,5184
467000,-122.367,47.7145,2,1.5,10800,8,2120,12040
686000,-122.026,47.5836,4,2.5,6440,10,3070,8127
279950,-122.299,47.398,3,2,9750,7,1900,10125
527000,-122.215,47.7663,4,2.25,19436,8,1910,10055
325000,-122.217,47.3758,3,2.25,16020,8,2080,9583
328000,-122.023,47.3828,3,2.25,8379,7,2020,8031
390000,-122.373,47.5123,3,2.25,7500,7,1280,7392
479950,-122.013,47.7076,2,2,6516,8,1640,6009
264950,-122.371,47.2922,4,2.25,9753,7,1510,9753
235000,-122.214,47.4075,3,1,15246,7,1960,13068
516500,-122.034,47.6794,3,2.5,4729,7,2250,4729
655000,-122.375,47.4497,2,1.75,15798,7,2030,13193
500000,-122.164,47.5218,4,2.75,15347,7,2280,15347
315000,-122.339,47.3103,6,2.75,7350,8,2120,8236
213000,-121.899,47.5687,2,1,10200,6,1150,13702
475000,-122.303,47.5575,3,1.5,5280,7,2090,4800
1030000,-122.183,47.6489,5,4,28040,10,3430,35096
416000,-121.95,47.3459,3,2,94300,7,2070,80100
410000,-122.303,47.6136,4,1,4740,7,1510,4740
800000,-122.023,47.7641,3,3.5,221284,10,2920,148539
472000,-122.324,47.3376,6,2.5,14034,9,2600,13988
225000,-122.319,47.3173,3,1.75,8505,7,1190,8640
210000,-122.376,47.5308,2,1,6000,6,830,4960
455000,-122.299,47.6727,2,1,5000,7,1450,3750
225000,-122.216,47.3221,3,1,8316,6,1260,8316
480000,-122.353,47.6779,2,1,3060,7,1390,3060
363000,-122.395,47.3076,3,2.5,11872,9,2570,10377
2400000,-122.072,47.6338,4,2.5,8354,9,3120,18841
181000,-122.357,47.5218,2,1.5,5120,6,1150,2566
250000,-122.213,47.2785,4,2,7312,7,2010,7650
481000,-122.345,47.6846,3,1.75,3000,6,1390,3000
260000,-122.278,47.3656,3,2,7209,7,1750,7209
455000,-122.111,47.4369,4,2.5,7685,9,3060,6567
415000,-121.711,47.4616,3,2.25,36224,8,1730,36224
349500,-122.27,47.5405,3,1,3538,7,1620,6331
245000,-122.178,47.3507,3,2.5,7442,7,1630,6458
592500,-122.32,47.6979,2,2,9191,7,1420,6816
385000,-122.345,47.5278,4,1.75,7620,7,1910,7620
315000,-122.147,47.4756,3,1.75,11455,7,1550,10650
255000,-121.772,47.4437,3,1,10170,7,1380,10098
693000,-122.109,47.7048,4,2.5,4425,8,2990,5659
780000,-122.302,47.6362,3,1,4400,8,1660,4400
237000,-122.29,47.4207,3,1.75,8470,7,1600,8470
525000,-122.047,47.6154,3,2.25,40510,10,2380,33450
425000,-122.299,47.5964,2,1,5040,5,1330,2580
369900,-122.438,47.4683,1,0.75,10079,5,1230,14267
290000,-122.171,47.4045,4,2.5,7280,7,1950,7475
285000,-122.358,47.5544,3,1,10701,7,1130,6350
415000,-122.29,47.6802,2,1,4500,7,1320,4465
272500,-122.371,47.2988,3,2.5,9900,8,2070,8250
2900000,-122.223,47.6312,4,3.25,20100,11,3890,20060
1370000,-122.042,47.7285,4,4.75,57346,11,4180,47443
436000,-122.352,47.7107,2,1,7538,7,1440,7530
210000,-122.323,47.3271,3,1,11390,7,1350,8164
236000,-122.255,47.5053,3,1,5898,7,1320,7619
331000,-122.4,47.6601,3,1.75,1306,7,1440,2225
365000,-122.166,47.4145,3,2.5,4510,8,2653,4927
450000,-122.165,47.4672,3,2,16258,8,1660,10530
770000,-122.261,47.7618,4,2.75,26300,9,1860,12136
455000,-122.071,47.3828,4,2.5,49375,8,2670,49385
405000,-122.268,47.5362,3,1.75,6000,6,2020,6000
304900,-122.206,47.3954,4,1.75,11325,7,1720,11088
170000,-122.272,47.5048,2,1,5265,6,1650,8775
2050000,-122.287,47.6166,5,3,8480,9,3050,7556
780000,-122.025,47.6811,4,2.5,7048,9,3920,7864
330000,-122.23,47.7486,3,3,13959,8,2570,13300
370000,-122.169,47.3846,4,2.5,8666,9,2410,8100
467000,-122.144,47.7564,5,2.25,13500,7,2300,9750
405000,-122.193,47.7198,3,1.75,6720,7,1670,7320
675000,-122.151,47.5461,5,2.25,10300,8,2310,10300
500000,-122.143,47.5712,2,1,14100,7,1520,13527
389999,-122.343,47.4281,4,2.5,15770,7,2410,15256
630000,-122.223,47.7128,4,1.75,9025,8,2120,9600
360000,-122.255,47.3341,4,2.5,9528,9,2280,9937
580000,-122.181,47.5399,4,3,11060,8,2320,11004
550000,-122.375,47.5717,3,2,4166,8,2390,4166
879000,-122.017,47.5951,4,2.5,22111,10,3150,11374
265000,-122.144,47.3536,3,2,8959,7,1740,7316
446500,-122.154,47.5084,3,2.5,7286,8,2400,7220
404000,-122.311,47.5586,3,1.5,8880,7,2140,5592
267500,-122.274,47.4427,3,1.75,11914,7,1630,9052
3080000,-122.077,47.6053,4,5,18641,10,4550,19508
335000,-122.301,47.3494,3,2.5,7632,8,2510,7903
576000,-122.393,47.6933,3,2.5,9000,7,2190,7310
208633,-122,47.3537,3,2.5,3810,8,2370,4590
315000,-122.337,47.476,3,2.25,8750,7,1460,10139
725000,-122.298,47.6239,3,1.75,3300,8,1740,4000
550000,-122.384,47.7776,4,2.75,7750,8,1800,8275
610750,-122.058,47.6459,4,2.25,7297,8,2250,9781
550700,-122.297,47.6692,2,1,5000,6,1460,5000
665000,-122.18,47.5376,4,2.75,10574,8,2720,8330
834000,-122.294,47.601,4,2.5,4000,8,2440,5750
201000,-121.837,47.529,5,1.75,78408,6,1660,78408
2380000,-122.367,47.6345,5,2.5,9050,10,2880,5400
1380000,-122.102,47.5503,4,3.25,12103,11,3860,11244
1400000,-122.102,47.5503,4,3.25,12103,11,3860,11244
305000,-122.125,47.4441,4,2.25,7700,8,2150,7350
487000,-122.333,47.7357,3,2,14052,8,1570,8162
390000,-122.157,47.346,3,2.5,64904,8,2350,57500
548000,-122.345,47.6638,2,1,3864,7,1570,3864
268750,-122.336,47.48,4,1,8775,6,1310,8775
819900,-122.151,47.6759,5,2.75,7119,9,1560,8384
520000,-122.057,47.5162,3,2.25,16200,8,2660,17958
230000,-122.252,47.2639,3,2,11204,7,1520,9518
240000,-122.371,47.2929,3,1.75,10248,7,1510,9753
232000,-122.352,47.4957,2,1,12092,6,1820,7460
240500,-122.352,47.4957,2,1,12092,6,1820,7460
274975,-122.093,47.7721,3,2.5,45004,9,3080,35781
740000,-122.319,47.644,4,2,4400,9,2320,5500
186375,-122.344,47.472,3,1,7636,7,1150,7600
790000,-122.166,47.592,3,2.25,10289,9,2500,10004
880000,-122.275,47.669,4,3.5,6750,9,2370,6120
279000,-122.323,47.42,6,1.75,11180,7,1590,7955
295000,-122.012,47.1913,3,2,10530,8,1910,10450
640000,-122.331,47.6666,2,1,5000,7,1710,5000
940000,-122.217,47.5639,4,2,9525,9,2770,9525
260000,-122.052,47.3483,4,2.5,5238,7,1800,5894
559900,-122.164,47.7648,3,2.75,5569,9,2580,11045
791500,-122.357,47.6794,4,2,3500,7,1820,3750
265000,-122.354,47.7535,3,1.75,8250,7,1740,8000
245000,-122.22,47.4945,3,1.75,11547,7,880,78408
485000,-122.093,47.6945,4,1.75,43995,7,2560,14764
684000,-122.157,47.5222,4,3.5,8414,9,3470,8066
425000,-122.32,47.7222,3,1.75,6840,8,1580,8691
309600,-122.49,47.3796,4,1.75,20000,6,1660,20000
552250,-121.875,47.5374,4,2.5,5823,8,2380,5823
165000,-122.24,47.4897,4,1,7134,6,1020,7138
239900,-122.24,47.4897,4,1,7134,6,1020,7138
320000,-122.078,47.4716,2,1,32633,6,1360,32156
206600,-122.173,47.3581,3,2,13464,7,1720,12080
387000,-122.307,47.7713,4,1.75,7690,7,2040,8646
299000,-121.854,47.675,1,0.75,12120,4,1300,19207
855000,-122.222,47.5603,4,2.75,10460,9,2610,10180
315000,-122.337,47.4147,3,1,14400,7,1940,14400
437500,-122.353,47.68,2,1,3120,7,1930,3120
252000,-122.27,47.3117,4,1.5,19800,7,1640,22654
375000,-122.28,47.543,4,1.75,7475,7,1600,5766
300000,-122.034,47.3607,4,2.5,4862,7,2010,5091
420000,-122.137,47.5759,4,1,9600,7,1750,10530
900000,-122.159,47.6891,3,1,77972,7,1340,17689
679900,-122.381,47.565,3,2.5,5750,9,1520,5750
463000,-121.974,47.6359,3,2.5,29970,7,1580,28399
380000,-122.141,47.4769,5,2.5,11340,9,2470,11340
329500,-122.029,47.3845,4,2.5,7912,7,1820,8168
604950,-122.184,47.6743,3,2.5,5608,8,2040,9363
795000,-122.164,47.5651,5,2.5,9570,8,2920,8800
465000,-121.709,47.4853,3,2,40438,7,1380,44049
673000,-122.359,47.4508,4,2.5,10400,9,2140,17449
810000,-122.016,47.6375,4,2.5,15420,10,3400,21455
785000,-122.042,47.5944,4,2.75,69415,8,2770,24361
338000,-122.182,47.4888,4,3,7500,7,1810,7650
280000,-122.19,47.5112,3,2.25,7222,7,1430,7220
315000,-122.341,47.7711,4,2.25,10754,7,1810,6929
530000,-122.341,47.7711,4,2.25,10754,7,1810,6929
380000,-122.345,47.2813,5,3,9914,9,2860,9721
297000,-122.189,47.5038,3,2.25,7562,7,1650,7625
730000,-121.97,47.5823,4,2.5,7331,10,3480,7447
450000,-122.304,47.7164,3,1.75,13500,7,1770,12600
275000,-122.045,47.3624,3,3,7750,7,1680,7500
595000,-122.329,47.6831,4,2,2849,7,1910,3120
435000,-122.307,47.592,3,1.5,3348,7,1590,2577
270000,-122.195,47.7461,2,1.5,209959,6,3130,19868
950000,-122.06,47.7268,3,3,14338,10,3360,14142
389000,-121.959,47.7237,4,2.25,5337,7,2300,6930
560000,-122.095,47.6283,4,2.25,7800,8,2420,8050
1350000,-122.148,47.5543,5,3.5,14984,11,4050,19009
799000,-122.226,47.5483,4,2.25,11585,8,2450,9691
365500,-122.146,47.7591,3,2,9600,7,1410,9600
252350,-122.169,47.4612,3,2,7352,7,1710,7350
403950,-122.365,47.4987,4,2.5,13780,8,1880,12000
385000,-122.358,47.772,4,1.5,10726,7,1610,10020
345000,-122.35,47.5287,4,1,7620,7,1450,7620
490000,-122.114,47.6109,3,2.75,3128,9,1950,2856
330000,-121.901,47.7736,3,2.5,26977,8,1790,27743
927000,-122.218,47.6294,4,2.75,12090,8,3180,12239
1120000,-122.213,47.5634,4,2.5,16619,10,3600,16553
330000,-122.241,47.7405,2,1,10000,7,2000,9600
530000,-122.118,47.5976,5,2.25,8800,7,2110,8800
365000,-122.129,47.5722,4,2,25600,8,2000,10071
378750,-122.289,47.5644,3,2.5,3000,7,1060,3500
269900,-122.157,47.4556,4,1.75,8750,7,1390,8750
557000,-122.305,47.6055,3,3.5,2096,8,1630,1543
360000,-122.022,47.1775,4,1.75,16980,7,1880,16963
352000,-122.385,47.6879,2,1,5000,7,1560,4500
437000,-121.779,47.4807,3,2.5,22357,8,2430,22357
322500,-122.032,47.3845,4,2.5,6753,7,1820,7107
650000,-122.402,47.5815,3,3.25,2000,9,1510,1352
450000,-122.344,47.6609,3,2,1213,8,1290,3235
278500,-122.188,47.3163,3,2,5250,7,1570,5250
364950,-122.191,47.4309,4,2.5,6957,8,2090,6996
840000,-122.026,47.401,4,3.5,40139,10,3180,36852
268000,-122.191,47.404,3,2.5,8134,7,1550,8134
517534,-122.482,47.3889,2,1,143947,5,1380,143947
632925,-122.095,47.7718,3,2.5,32239,8,2990,36497
577500,-122.2,47.7067,3,2.5,7251,9,2450,8118
339000,-122.227,47.504,4,1.5,7480,7,2850,6867
570000,-122.164,47.7015,3,1.75,37461,7,2520,18295
563500,-121.95,47.5753,4,1.75,174240,7,2690,174240
423000,-122.333,47.7448,4,2.25,9351,7,1910,8660
355000,-121.982,47.7318,3,2.25,5028,8,2320,5465
1550000,-121.95,47.5954,5,4.25,171626,12,4680,211267
482000,-122.337,47.6885,2,1,3960,7,1320,4050
625000,-122.179,47.5724,3,1.75,9135,7,1580,9800
538000,-122.169,47.5272,3,2.5,11632,8,2360,11632
380000,-122.161,47.4334,3,2.5,10255,8,2310,10094
375000,-122.308,47.6073,2,1,5120,7,1300,5120
245000,-122.046,47.3592,3,2.5,8500,7,1850,8140
310000,-122.337,47.4546,5,1.75,27260,7,1620,39480
1300000,-122.219,47.6408,3,2,15021,8,3530,15715
397000,-122.2,47.7245,4,2,7680,7,1460,9660
365000,-122.178,47.4362,3,2.5,4052,8,2310,5082
328500,-122.156,47.3739,4,3,8250,9,2290,8250
988000,-122.127,47.7205,4,3,19700,11,3930,21887
1000000,-122.33,47.6636,4,2.5,3277,8,1810,3277
237000,-122.197,47.4324,3,2.5,2138,7,1490,2094
525000,-122.224,47.7734,4,2.5,5280,8,2300,4674
749000,-122.164,47.559,4,2.5,9627,9,2140,9131
722500,-122.041,47.633,5,2.5,11800,10,3180,11398
843000,-122.103,47.6954,3,2.5,8750,10,2860,9003
438000,-122.318,47.6776,2,2,1372,8,1610,3090
578000,-122.382,47.504,3,1.75,10875,8,2460,11760
227950,-122.255,47.2613,3,1.5,8230,7,2077,4910
196000,-122.271,47.3417,3,2.25,11576,7,1890,7519
641000,-122.275,47.6694,2,1,5332,8,2400,5406
350000,-121.955,47.4056,3,1.5,219978,6,1930,210394
205000,-122.289,47.3838,3,1,7980,7,1150,8050
400000,-122.082,47.7487,3,1.75,9102,7,1920,9760
1030000,-122.078,47.5534,3,2.5,9816,10,3630,7704
505000,-122.18,47.7355,3,2,5460,7,1510,5460
475000,-122.211,47.7206,5,2.5,7200,7,1930,7221
520000,-122.262,47.7691,3,2.25,9263,8,2580,9450
1450000,-122.258,47.7183,3,4.5,24920,10,2610,13838
333500,-122.214,47.7736,3,1.75,9732,7,1630,10007
232000,-122.029,47.362,3,1,10403,6,1230,10209
691100,-122.121,47.5698,3,2.75,16117,8,2120,16117
811000,-122.221,47.5505,3,1.75,9897,8,1900,10005
551000,-122.234,47.7605,3,2.5,5802,9,2500,5788
496500,-122.157,47.7356,3,2.5,3640,8,2350,3710
705000,-122.438,47.3844,3,3,20978,9,2280,75396
578000,-122.226,47.4904,4,2.5,9225,9,2460,9600
255000,-122.089,47.3663,3,1.75,8659,7,1490,8223
1050000,-122.123,47.5637,4,3.5,7832,10,3220,8567
348000,-122.125,47.3759,3,2.25,8491,8,2400,8049
230000,-122.167,47.3912,3,2,3413,7,1570,3777
359500,-122.371,47.3305,4,2.25,11250,9,2480,11250
330000,-122.357,47.7617,3,1,7000,6,1220,7000
80000,-121.909,47.6499,1,0.75,5050,4,1200,7500
465000,-122.353,47.7311,3,1.75,6360,7,1480,6360
325000,-122.107,47.3701,4,2.5,7324,8,2100,7329
340500,-122.318,47.4857,3,2,28025,7,1770,14833
342500,-122.042,47.3724,3,2.5,5192,8,1810,6200
290900,-122.266,47.4855,2,2,17600,6,1310,12950
868700,-122.064,47.6336,3,4.25,6161,10,3230,7709
1200000,-122.281,47.717,4,2.75,8400,9,2820,8400
1150000,-122.066,47.6332,4,3.25,10259,11,4300,11919
